,時間戳記,1. 您的实验编号？,2. 我能够感受到机器人的正面评价，如「你真厉害」、「做得很好」,3. 我能够感受到机器人把好的结果归因到了,4. 我能够感受到机器人的负面评价，如「做得不对」、「完成得不好」,5. 我能够感受到机器人把不好的结果归因到了,6. 我能够感受到机器人给我的评价,7. 我认同NAO对我的正面评价，我认为自己确实表现得不错,8. 我认为，在刚刚的实验任务中，动作完成得好主要是依赖于,9. 我认为，动作完成得好主要是______的功劳,10. 总的来说，我认为______在刚刚的优良表现中占大多数功劳,11. 我认同NAO对我的负面评价，我认为自己的确有些动作完成得不好,12. 我认为，在刚刚的实验任务中，动作完成得不好主要是______造成的,13. 我认为，动作完成得不好主要是______的责任,14. 总的来说，我认为______要为刚刚的不佳表现承担大多数责任,15. 我认为，动作完成得好主要是因为机器人教得好,16. 我认为，动作完成得好主要是因为我的认真/努力,17. 我认为，动作完成得好主要是因为这些动作很简单,18. 我认为，表现良好在很大程度上取决于机器人所说的话和所做的事,19. 我认为，表现良好在很大程度上取决于我自己所说的话和所做的事,20. 我认为，表现良好在很大程度上取决于动作的困难程度和复杂程度,21. 我认为，动作完成得好主要是机器人的功劳,22. 我认为，动作完成得好主要是我自己的功劳,23. 我认为，动作完成得好主要归功于动作简单,24. 我认为，动作完成得不好主要是因为机器人教得不好,25. 我认为，动作完成得不好主要是因为我不够认真/努力,26. 我认为，动作完成得不好主要是因为这些动作很难,27. 我认为，表现不佳在很大程度上是因为机器人所说的话和所做的事,28. 我认为，表现不佳在很大程度上是因为我自己所说的话和所做的事,29. 我认为，表现不佳在很大程度上是因为动作本身的困难程度和复杂程度,30. 我认为，机器人需要为刚刚的不佳表现承担大多数责任,31. 我认为，我自己需要为刚刚的不佳表现承担大多数责任,32. 我认为，动作完成得不好主要归咎于动作的难度和复杂度,33. 听到机器人的正面评价，我会认为自己受到了表扬,34. 我认为机器人有资格对我提出表扬,35. 我认可和接受机器人对我表扬,36. 听到机器人的负面评价，我会认为自己受到了批评,37. 我认为机器人有资格对我提出批评,38. 我认可和接受机器人对我的批评,39. 机器人的正面评价让我感到,40. 机器人的正面反馈让我感到,41. 机器人的正面反馈能够______我学习的热情,42. 机器人的正面反馈______了我的自信,43. 机器人的正面反馈______了我的学习动力,44. 机器人的正面反馈让我______继续练习,45. 机器人的负面评价让我感到,46. 机器人的负面反馈让我感到,47. 机器人的负面反馈能够______我学习的热情,48. 机器人的负面反馈______了我的自信,49. 机器人的负面反馈______了我的学习动力,50. 机器人的负面反馈让我______继续练习,51. 我喜欢这个机器人,52. 如果不能再次使用这个机器人，我会有种失落感,53. 我认为这个机器人适合我的风格,54. 我愿意继续和这个机器人学习新的动作,55. 我认为与这个机器人的互动是令人愉快的,56. 愉悦（pleasure）,57. 兴奋（arousal）,58. 控制（dominance）,59. 我感觉到自己正在和一个智能体交互,60. 我感觉到自己在独自完成任务,61. 我感觉到自己与机器人产生关联,62. 我感觉到机器人在回应我,63. 我感觉到我和机器人在互相交流,64. 我认为机器人是我的______,65. 您把机器人当作外人还是自己人？,66. 请评价您和机器人的关系亲密度,67. 机器人能清楚判读什么是正确的；什么是错误的,68. 机器人能正确判断行为是否符合道德准则,69. 机器人认为有义务遵守道德准则行事,70. 机器人有办法理解什么是好的；什么是坏的,71. 机器人会依照道德准则行事,72. 机器人会避免做给使用者带来痛苦的事情,73. 机器人只能够以程序规范的方式来行事,74. 机器人的行为仅仅是程序运行的结果,75. 机器人只能做人类指示它去做的事情,76. 机器人永远不会做任何运行程序以外的事情,77. 我希望在本次实验中表现出色,78. 我相信我可以掌握本次实验中机器人教授的基本动作,79. 我相信我将在本次实验中取得优异的成绩,80. 我相信我可以掌握本次实验中机器人教授的动作,81. 我有信心在本次实验中表现出色,82. 我相信我能理解本次实验中机器人教授的困难动作,83. 我相信我能理解本次实验中机器人教授的复杂动作,84. 我相信我将在本次实验中出色地完成动作
0,2022-07-23 19:08:40.435,17,5,3,5,3,正面评价和负面评价相当,5,3,4,4,6,3,4,4,4,3,3,5,5,5,4,4,4,4,4,3,5,4,5,5,4,5,5,5,4,6,4,4,6,6,5,5,5,5,3,2,2,2,2,2,4,4,1,3,3,5,6,6,3,5,5,5,5,2,2,2,4,3,3,2,2,5,4,7,7,7,5,5,5,5,5,3,3,6
1,2022-07-24 10:42:36.312,25,7,2,7,6,正面评价更多,4,5,5,5,3,2,2,2,4,7,2,6,5,7,4,5,7,2,1,7,5,4,7,3,5,7,6,5,5,7,4,4,7,6,7,6,6,6,1,1,2,1,1,3,6,6,5,6,7,8,8,5,5,5,6,5,6,5,5,5,4,5,6,5,5,5,6,7,6,7,7,5,5,4,4,5,5,3
2,2022-07-24 11:30:04.161,49,6,3,6,2,正面评价和负面评价相当,4,4,3,3,6,3,3,3,3,5,6,4,5,6,3,5,6,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,6,6,5,5,5,5,3,3,3,3,3,3,4,3,3,4,4,5,4,6,5,5,5,5,5,3,2,3,4,4,5,5,4,4,5,5,5,3,6,5,3,4,3,4,3,3
3,2022-07-24 13:41:12.631,9,7,5,6,4,正面评价更多,4,5,4,4,7,1,1,1,4,4,4,7,1,5,5,2,4,2,4,7,2,6,6,1,7,7,7,7,7,4,4,5,5,5,6,7,7,4,4,4,4,4,4,4,5,1,4,4,4,6,6,5,7,4,5,7,7,5,4,4,2,1,1,1,4,1,7,7,7,7,7,4,4,4,2,1,1,1
4,2022-07-24 14:22:01.431,1,6,6,5,6,正面评价更多,4,4,3,3,5,4,3,4,5,5,5,6,3,5,4,5,6,4,3,6,3,3,6,3,4,6,6,5,6,5,4,4,5,3,6,6,6,6,3,3,3,4,3,5,6,3,4,5,6,7,5,5,5,5,5,4,4,5,3,5,3,2,7,2,3,5,6,5,4,3,6,5,6,5,5,5,5,5
5,2022-07-24 15:41:14.629,57,6,3,6,5,正面评价更多,3,4,4,4,5,3,3,3,4,4,4,3,3,4,3,3,4,2,2,6,2,2,6,3,4,6,5,5,5,3,3,3,5,5,5,5,5,5,3,3,3,3,3,4,6,5,6,6,6,9,9,9,6,4,6,6,6,4,4,4,4,3,6,4,4,4,4,4,4,4,6,3,3,3,3,3,3,3
6,2022-07-24 19:34:05.861,33,7,1,7,7,正面评价更多,4,5,5,5,7,2,2,2,5,4,6,5,4,6,6,2,7,2,3,4,2,5,6,2,5,6,7,7,6,4,6,6,7,7,6,7,7,7,4,4,5,5,5,5,6,3,6,6,7,7,7,4,6,3,6,6,6,5,5,6,6,4,5,6,5,7,3,5,5,5,6,5,4,4,3,3,3,3
7,2022-07-25 11:39:18.340,41,6,4,5,6,正面评价和负面评价相当,5,4,3,3,3,4,4,4,5,5,5,6,5,5,4,5,5,4,4,5,5,4,5,3,3,5,6,6,6,5,4,3,6,6,6,6,6,6,3,4,3,4,3,4,6,4,5,6,5,7,7,5,6,4,6,5,6,5,4,5,4,5,5,3,5,5,5,4,4,4,5,6,5,6,5,5,5,5
8,2022-07-25 13:53:47.773,18,5,6,5,3,正面评价和负面评价相当,3,5,5,4,5,5,5,5,2,4,2,5,2,4,5,3,3,4,4,5,4,4,5,5,3,5,4,3,4,6,2,2,5,4,5,5,5,3,3,3,3,3,3,3,5,3,3,3,5,7,7,7,4,3,3,4,3,2,2,3,2,2,6,2,2,2,6,6,6,3,3,3,3,3,3,3,3,3
9,2022-07-25 14:31:43.990,42,5,6,6,2,正面评价和负面评价相当,3,4,4,5,2,6,6,6,5,2,7,2,3,1,5,4,7,7,2,1,6,4,1,6,3,1,3,5,5,2,5,3,4,4,4,4,4,5,3,4,4,4,4,4,5,1,1,2,4,5,3,3,1,3,5,5,3,2,1,1,5,6,3,1,2,4,7,7,7,3,6,7,5,6,6,6,5,5
10,2022-07-25 15:34:49.246,2,6,5,6,6,正面评价和负面评价相当,3,4,6,6,7,2,1,1,5,4,7,5,4,7,6,2,7,3,3,6,2,4,7,2,6,7,7,7,7,7,7,7,6,2,6,6,6,6,4,2,2,1,2,4,6,5,5,6,6,6,6,5,7,1,6,7,6,7,4,5,5,4,5,6,4,5,7,7,4,2,7,6,5,6,5,5,4,5
11,2022-07-25 16:38:10.780,58,5,1,5,7,正面评价更多,6,3,3,3,5,4,4,5,2,3,6,4,4,7,4,5,7,4,4,3,5,4,6,3,4,3,4,5,4,2,2,3,6,7,7,7,7,7,5,4,4,4,4,4,7,7,7,7,7,8,6,7,6,2,5,6,6,6,5,5,3,6,6,7,4,6,4,3,3,2,7,7,7,7,7,7,7,7
12,2022-07-25 17:21:40.873,50,6,2,6,2,正面评价更多,5,4,5,4,6,2,3,2,4,4,5,5,4,6,4,4,6,3,5,5,3,5,6,3,5,6,6,6,6,6,6,6,6,2,6,6,6,6,2,3,4,4,4,4,7,6,7,7,7,8,6,6,7,5,7,7,7,7,7,6,7,7,7,7,7,6,7,7,4,7,7,6,6,6,6,5,5,6
